Ret1M,ROE,ROA,ROIC,Ret1M,Ret3M,EBIT2EV,logVal,Ret
0.843113773,-1.614710589,-0.287355563,0.130676386,0.843113773,0.799091941,0.001943788,13.05308259,0.069111425
1.046325879,0.948853962,0.579492637,1.032480113,1.046325879,1.175942549,0.005874643,13.65475478,-0.151197605
0.858096343,0.293626499,0.112193675,-3.802766336,0.858096343,0.962615328,-5.82E-05,13.98536834,-0.047294741
0.919642857,3.575222426,1.521844383,4.443250818,0.919642857,1.059125964,0.02419773,13.64648966,-0.079041916
0.874304343,3.255614101,0.706066905,5.859792671,0.874304343,0.982714587,-0.077550651,13.19886048,0.106227106
0.940807175,0.455634383,0.292335816,0.444717534,0.940807175,0.81129157,0.002696277,11.16772021,0.072975518
0.91396807,3.157273527,0.827706506,4.180464947,0.91396807,0.933428,0.036204402,12.74931202,0.065454545
0.871369295,2.004009653,1.702188489,3.380394791,0.871369295,0.742399246,0.010430701,12.17785268,-0.09140625
0.844252163,2.722115843,1.110896113,3.680585748,0.844252163,0.742391305,0.028992097,14.40433476,0.039531479
1.301748449,1.060635642,0.746960109,1.166145038,1.301748449,1.554208754,0.005235208,14.24343934,-0.063632346
0.962616822,-1.005846347,-0.52253501,-0.900009309,0.962616822,1.059670782,-0.004594336,11.9526123,0.096339114
0.907882241,6.414620569,2.858118618,6.16586093,0.907882241,0.951243781,0.015526472,13.56252556,0.018414322
0.807085233,3.38418419,2.473633351,5.980245028,0.807085233,0.7396884,0.011746967,11.12141326,0.051563821
0.896580484,-0.376155156,-0.21776921,-0.02522766,0.896580484,0.972264094,-0.00016598,12.97926834,0.091463415
1.45635167,2.148994064,1.568506179,2.195859474,1.45635167,1.806252888,0.007090298,14.40653969,-0.031596639
1.059786378,-2.647281163,-2.116456794,-2.702679852,1.059786378,1.278019404,-0.002855185,12.75257397,-0.003589744
0.966386555,-2.672639217,-0.97933383,-0.601128127,0.966386555,0.996150144,-0.001095752,12.02399576,-0.005725191
1.266729059,2.405096294,1.02294649,2.554204756,1.266729059,1.747579084,0.019634589,15.29870951,0.213909378
2.129331683,0.878515823,0.466861501,0.987480843,2.129331683,2.620715917,0.004046952,13.64900131,0.066427784
0.921527041,3.203441389,2.434698772,3.007805388,0.921527041,0.874937058,0.005805433,11.62560394,-0.147174035
0.918624161,2.815475272,0.957621316,2.430505258,0.918624161,1.062075655,0.004419903,13.10053623,-0.067028986
0.89882297,1.314994628,0.299439654,2.264686675,0.89882297,0.94488189,-0.336100023,15.59163657,0.012094208
0.778244141,1.584853113,0.886421366,1.753737594,0.778244141,0.652492669,0.003623325,11.15110432,0.028761062
1.043354943,0.926056982,0.521636447,0.949423149,1.043354943,1.065370294,0.006672571,13.86079091,-0.045126518
1.722222222,7.349693412,6.20039324,8.54277355,1.722222222,2.070018125,0.024081051,12.18874521,0.198156682
0.837991719,6.27308383,3.340958416,5.527429352,0.837991719,0.650985123,0.016340138,11.07869338,0.154819277
1.011588605,1.696038896,1.605935611,2.148252138,1.011588605,0.841365462,0.004691028,12.31074793,0.355980861
0.909710392,0.463341865,0.19423482,0.593175808,0.909710392,0.931937173,0.006564379,12.84634089,0.051851852
0.845780206,3.94101911,3.409887536,5.125157496,0.845780206,inf,-0.141407408,12.75639667,0.0481316
0.924485126,0.340187347,0.290270832,-0.038165063,0.924485126,0.964200477,-0.000653643,13.03530275,0.022185466
