Ret1M,ROE,ROA,ROIC,Ret1M,Ret3M,EBIT2EV,logVal,Ret
1.006640106,3.419001416,0.63897472,2.296507258,1.006640106,0.891764706,0.035347561,13.12892,0.006587615
0.827737226,1.100620653,0.673543291,1.729178412,0.827737226,1.10311284,0.00835257,13.51047885,0.04770318
0.964750958,6.992376175,2.849156221,38.23573498,0.964750958,1.012697484,0.010720572,13.95024963,-0.015959517
0.891077636,6.481257183,2.754457827,6.986584415,0.891077636,0.930992736,0.034503396,13.5774101,-0.117647059
1.135338346,4.724427745,0.991580086,8.727053991,1.135338346,1.021409003,-0.129997967,13.32767266,0.014900662
1.037168142,6.279458643,1.622932762,10.78943381,1.037168142,0.967928462,0.098608365,12.81635652,-0.003350084
1.032155797,5.808301848,3.718220966,8.09080557,1.032155797,1.059507206,0.057948319,11.25047245,-0.108639863
0.926693227,3.346405088,2.871212804,4.123039967,0.926693227,0.862631657,0.014346159,12.09774384,-0.001697793
inf,11.86728327,8.291299424,11.09223909,inf,inf,1.41551179,11.26389922,-0.086499846
1.030478955,6.2304353,2.423176759,9.26766325,1.030478955,0.77342048,0.084628059,14.44310487,-0.133241758
1.046936759,2.089953617,1.460449072,2.1398245,1.046936759,1.417391304,0.007802275,14.16027387,-0.105864811
1.075614367,1.131081864,0.594015442,1.264924118,1.075614367,1.213219616,0.006075416,12.05232583,0.043103448
1.017373531,15.06819118,6.776690559,14.04454597,1.017373531,1.217737003,0.035151321,13.63037654,-0.09375
1.008512363,7.002564489,4.776102103,14.68724698,1.008512363,0.818835413,0.027147361,11.19954862,-0.078794902
1.091463415,0.521342416,0.298597655,1.58096651,1.091463415,1.119799812,0.00909554,13.08369819,-0.081411126
0.968484747,5.250717162,3.780532836,5.041520713,0.968484747,1.649112765,0.01265626,14.38899236,0.132059079
1.05027027,-1.744456371,-1.372622604,-2.100606346,1.05027027,1.47448302,-0.001075737,14.27894537,-0.086008398
1.001923077,-2.612752206,-0.889629824,-0.456636036,1.001923077,1.065439673,-0.000803668,12.03073628,-0.053977273
1.17311609,5.910669789,2.476206323,6.347337777,1.17311609,2.086956522,0.033374849,15.55913164,0.080289673
1.303132368,1.708207744,0.823714965,1.835228143,1.303132368,2.855350553,0.005060089,13.7780837,-0.173329682
0.813233725,4.85532996,3.367888674,4.280416539,0.813233725,0.814662071,0.00849167,12.64175927,-0.071236559
